https://arxiv.org/abs/2002.08566
https://zenodo.org/records/3653516
Er [keV]		dN_dEr [1 / (keV t yr)]
0.01     0.0
4.59     0.60856
13.77    1.7785
22.96    2.8876
27.55    3.9753
36.73    4.8359
45.91    6.0675
57.39    7.6129
71.17    9.4541
84.94    11.74
105.6    14.283
123.97    17.375
144.63    20.92
167.58    25.45
195.13    30.019
224.98    35.408
254.82    41.764
286.96    48.757
323.69    55.187
362.72    63.114
401.74    71.439
445.36    79.212
491.28    87.833
541.78    95.405
589.99    103.63
645.09    109.14
697.89    116.13
755.28    119.8
810.38    122.33
867.77    123.63
925.16    122.39
980.26    119.92
1035.35    116.29
1090.45    110.47
1145.55    104.94
1198.35    97.66
1248.85    89.943
1297.06    82.838
1345.27    76.294
1388.89    68.832
1434.8    62.1
1473.83    55.45
1515.15    49.004
1556.47    43.308
1593.2    37.881
1627.64    32.793
1664.37    28.684
1698.81    24.577
1733.24    21.276
1765.38    18.419
1795.22    15.781
1825.07    13.383
1852.62    11.232
1877.87    9.3304
1905.42    7.9942
1928.37    6.5725
1953.63    5.5735
1976.58    4.6298
1997.25    3.7673
2020.2    3.1294
2040.86    2.5995
2059.23    2.1372
2077.59    1.7391
2095.96    1.4298
2116.62    1.1755
2134.99    0.96641
2146.46    0.7703
2164.83    0.6268
2178.6    0.49962
2194.67    0.41075
2206.15    0.3274
2217.63    0.26096
2229.11    0.21017
2245.18    0.17278
2254.36    0.13772
2265.84    0.10977
2275.02    0.087498
2286.5    0.069743
2293.39    0.055019
2304.87    0.043854
2458    0
